,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
0,1983202628614448146200000000,,,4,1,1168010100106040005,131.04,652.36,0.0,0.0,21,04000,0.0,0.0,5388,19830917,20200108,0,0,B00100000000SMD49,,,,1168010100106040005022115,22,11680,"POLYGON ((202635.6670000004 444821.2210000008, 202638.557 444813.784, 202622.9009999996 444807.7210000008, 202622.2290000003 444808.0020000003, 202622.0729999999 444808.284, 202619.1040000003 444817.4399999995, 202622.4479999999 444818.534, 202623.2910000002 444816.9710000008, 202635.6670000004 444821.2210000008))"
1,1996202743844443479900000000,,,3,1,1168010100106360008,135.64,533.67,226.5,11.0,21,01000,59.89,175.73,14974,19960719,20170201,0,0,B00100000000SR4WX,,,,1168010100106360008023446,218,11680,"POLYGON ((202751.4879999999 444344.7149999999, 202740.3169999998 444339.9969999995, 202736.0669999998 444351.4969999995, 202747.7390000001 444355.7469999995, 202751.4879999999 444344.7149999999))"
2,1984203017684442686900000000,,,10,3,1168010100106460018,358.17,4991.08,830.6,0.0,21,14000,43.12,419.36,3221,19841107,20170320,0,0,B00100000000SM8QQ,,,,1168010100106460018023591,75,11680,"POLYGON ((203017.7850000001 444251.4289999995, 203009.7699999996 444248.5539999995, 203006.6919999998 444256.4600000009, 203014.818 444259.5539999995, 203008.2400000002 444277.4910000004, 203024.068 444283.773, 203025.1610000003 444280.898, 203030.1459999997 444267.8350000009, 203025.1610000003 444266.0539999995, 203018.8640000001 444263.773, 203015.5209999997 444256.6789999995, 203017.7850000001 444251.4289999995))"
3,1984202864074446282000000000,,,2,1,1168010100106260027,161.04,317.96,0.0,0.0,11,01000,0.0,0.0,24169,19840114,20170316,0,0,B00100000000SPG4F,,,,1168010100106260027022727,103,11680,"POLYGON ((202869.2280000001 444637.716, 202870.0250000004 444635.4979999997, 202871.4929999998 444635.8100000005, 202874.9620000003 444626.1840000004, 202869.9780000001 444623.9039999992, 202869.4620000003 444624.9969999995, 202863.6179999998 444622.8100000005, 202864.1030000001 444620.1539999992, 202858.1179999998 444617.9979999997, 202853.2589999996 444630.7479999997, 202862.9939999999 444633.091, 202862.3530000001 444635.341, 202869.2280000001 444637.716))"
4,0000202812414449484700000000,,,0,0,1168010100106050027,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110207,,,B00100000000SN1RL,,,,,112,11680,"POLYGON ((202813.5449999999 444948.125, 202811.7949999999 444947.4690000005, 202811.2640000004 444948.8129999992, 202813.0449999999 444949.4690000005, 202813.5449999999 444948.125))"
5,1996202226404446823700000000,,,3,1,1168010100106010006,140.12,463.56,236.4,10.2,21,04000,59.27,145.21,8959,19960419,20180110,0,0,B00100000000SRRG5,,,,1168010100106010006022566,130,11680,"POLYGON ((202236.818 444682.6640000008, 202218.3490000004 444675.4759999998, 202215.943 444681.9149999991, 202234.2549999999 444689.3509999998, 202236.818 444682.6640000008))"
6,0000202994434447182800000000,,,0,0,1168010100106070020,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110207,,,,,,,,342,11680,"POLYGON ((202996.5120000001 444715.8709999993, 202994.5429999996 444715.2139999997, 202992.2929999996 444720.4959999993, 202994.4809999997 444721.3389999997, 202996.5120000001 444715.8709999993))"
7,0000202501314447683100000000,,,0,0,1168010100106030000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110207,,,,,,,,288,11680,"POLYGON ((202503.6339999996 444766.9110000003, 202500.415 444765.8169999998, 202498.9620000003 444769.6919999998, 202502.2750000004 444770.8169999998, 202503.6339999996 444766.9110000003))"
8,1985202347614444913800000000,,,2,1,1168010100108120015,136.19,310.69,0.0,0.0,11,03000,0.0,0.0,17226,19851106,20200425,0,0,B00100000000SNJAM,,,,1168010100108120015023136,483,11680,"POLYGON ((202349.6129999999 444500.8800000008, 202351.8779999996 444496.2550000008, 202352.2999999998 444496.3479999993, 202354.909 444489.0979999993, 202353.9720000001 444488.4110000003, 202354.0029999996 444487.6610000003, 202349.7060000002 444481.0360000003, 202345.8619999997 444479.5050000008, 202342.2369999997 444489.1919999998, 202342.909 444489.5050000008, 202340.0970000001 444497.7860000003, 202346.0190000003 444499.8169999998, 202345.4249999998 444501.7540000007, 202349.3310000002 444503.1300000008, 202350.1119999997 444500.9419999998, 202349.6129999999 444500.8800000008))"
9,1988203040034446168600000000,피죤,,6,2,1168010100106280013,562.99,4604.5,1190.3,25.53,21,14000,47.3,283.45,19737,19880317,20190710,0,0,B00100000000SMSCW,,,,1168010100106280013022743,487,11680,"POLYGON ((203056.0109999999 444610.4619999994, 203031.932 444601.7440000009, 203025.0410000002 444620.3379999995, 203024.057 444622.9949999992, 203025.0420000004 444623.3690000009, 203047.949 444632.2129999995, 203056.0109999999 444610.4619999994))"
