,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
0,1992201855664439905000000000,서초빗물펌프장관사,,1,0,1165010800113130018,70.65,60.0,2899.8,4.81,21,01000,2.43,2.06,14254,19920630,20170316,0,0,B001000000012ZC1S,,,,,9552,11650,"POLYGON ((201861.5070000002 443987.8829999994, 201852.9910000004 443984.6649999991, 201849.8969999999 443993.477, 201858.4129999997 443996.1329999994, 201861.5070000002 443987.8829999994))"
1,0000202316994440660500000000,,,0,0,1165010800113730000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,,,,,,486,11650,"POLYGON ((202318.3870000001 444065.0639999993, 202316.8399999999 444064.2829999998, 202315.4960000003 444066.9079999998, 202317.3399999999 444067.8139999993, 202318.3870000001 444065.0639999993))"
2,1970202003784437466800000000,,1동,3,1,1165010800113220000,5395.0,7693.59,0.0,12.0,21,17000,0.0,0.0,800000619,19700415,20110209,0,1,B001000000013079W,,,,1165010800113220001022469,1246,11650,"POLYGON ((201968.4570000004 443775.8800000008, 201993.4110000003 443785.1610000003, 202021.2230000002 443795.5659999996, 202050.1909999996 443718.784, 201999.4709999999 443699.7850000001, 201994.5180000002 443713.2219999991, 201991.4869999997 443712.1280000005, 201980.159 443708.0659999996, 201956.5039999997 443770.8479999993, 201956.3320000004 443771.3169999998, 201956.5039999997 443771.4110000003, 201968.4570000004 443775.8800000008))"
3,0000202086864439370300000000,,,0,0,1165010800113160005,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,,,,,,1244,11650,"POLYGON ((202087.8130000001 443936.7970000003, 202085.9539999999 443936.1919999998, 202085.6500000004 443937.125, 202087.4390000002 443937.8100000005, 202087.676 443937.8139999993, 202087.8329999996 443937.7139999997, 202087.9560000002 443937.5120000001, 202087.9929999998 443937.2200000007, 202087.9500000002 443937.0020000003, 202087.8130000001 443936.7970000003))"
4,0000202214064437768100000000,,,0,0,1165010800113210020,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012Y2O5,,,,,1428,11650,"POLYGON ((202218.5609999998 443771.3310000002, 202214.2350000003 443769.7329999991, 202209.5640000002 443782.3049999997, 202213.9309999999 443783.8650000002, 202218.5609999998 443771.3310000002))"
5,0000201993084436403400000000,,,0,0,1165010800113220000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZCVN,,,,1165010800113220001022516,4057,11650,"POLYGON ((201995.4079999998 443638.6909999996, 201992.1579999998 443637.5040000007, 201990.3300000001 443641.6909999996, 201994.2359999996 443643.1290000007, 201995.4699999997 443640.0040000007, 201995.0949999997 443639.8790000007, 201995.4079999998 443638.6909999996))"
6,1983202292144440637700000000,통영빌딩,,15,4,1165010800113180002,683.23,13775.72,1324.6,0.0,21,03000,51.58,755.69,17221,19830226,20210619,0,0,B001000000012UHH9,,,,1165010800113180002020008,4241,11650,"POLYGON ((202308.3710000003 444056.0950000007, 202285.1979999999 444047.2829999998, 202275.699 444071.1899999995, 202299.324 444080.3450000007, 202308.3710000003 444056.0950000007))"
7,1997202151734438264200000000,BNK ？?？？명？？？,,20,7,1165010800113210011,1257.63,37182.24,2534.0,81.4,42,14000,49.63,922.58247,17227,19970627,20210309,0,0,B0010000000129EHK,,,,1165010800113210011022456,2903,11650,"POLYGON ((202171.6619999995 443806.5950000007, 202149.9740000004 443798.2829999998, 202141.0209999997 443821.784, 202131.7719999999 443846.034, 202141.0219999999 443849.6899999995, 202153.5539999995 443854.6280000005, 202171.6619999995 443806.5950000007))"
8,2008202310134438254900000000,삼성전자 서초사옥,,44,8,1165010800113200010,7044.66,196561.09,13108.3,199.28,42,14000,53.74,848.14,100183128,20080814,20170127,0,0,B001000000012U6P6,,,,1165010800113200010000001,8367,11650,"POLYGON ((202310.9730000002 443890.1190000009, 202323.0789999999 443858.4639999997, 202328.3609999996 443860.4839999992, 202359.2549999999 443779.2550000008, 202313.4419999998 443761.4580000006, 202306.4000000004 443779.5850000009, 202297.1050000004 443776.5399999991, 202276.8119999999 443836.6040000003, 202273.1349999998 443835.3619999997, 202261.0449999999 443866.0260000005, 202264.9869999997 443867.5810000002, 202263.165 443871.7180000003, 202310.9730000002 443890.1190000009))"
9,1978202240724440577900000000,,,6,1,1165010800113170009,266.14,1784.98,448.9,22.15,11,15000,59.29,323.22,14266,19781229,20171121,0,1,B001000000012U4WB,,,,1165010800113170010020010,1321,11650,"POLYGON ((202248.2920000004 444066.7520000003, 202249.9479999999 444062.3149999995, 202250.2450000001 444062.3780000005, 202250.8389999997 444060.6899999995, 202250.2300000004 444060.3780000005, 202251.9639999997 444055.8149999995, 202233.3389999997 444048.784, 202229.2609999999 444059.6899999995, 202248.2920000004 444066.7520000003))"
